event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2,market,spread_f1,spread_f2
2023-10-15 20:05:00,Caesars,Las Vegas Raiders,New England Patriots,-170,143,h2h,,
2023-10-15 20:05:00,Caesars,Las Vegas Raiders,New England Patriots,-115,-105,spreads,-3.0,3.0
2023-10-15 20:05:00,LowVig.ag,Las Vegas Raiders,New England Patriots,-167,147,h2h,,
2023-10-15 20:05:00,LowVig.ag,Las Vegas Raiders,New England Patriots,-109,-101,spreads,-3.0,3.0
2023-10-15 20:05:00,BetOnline.ag,Las Vegas Raiders,New England Patriots,-167,147,h2h,,
2023-10-15 20:05:00,BetOnline.ag,Las Vegas Raiders,New England Patriots,-114,-106,spreads,-3.0,3.0
2023-10-15 20:05:00,Bovada,Las Vegas Raiders,New England Patriots,-170,145,h2h,,
2023-10-15 20:05:00,Bovada,Las Vegas Raiders,New England Patriots,-120,100,spreads,-3.0,3.0
2023-10-15 20:05:00,Unibet,Las Vegas Raiders,New England Patriots,-175,140,h2h,,
2023-10-15 20:05:00,Unibet,Las Vegas Raiders,New England Patriots,-114,-107,spreads,-3.0,3.0
2023-10-15 20:05:00,TwinSpires,Las Vegas Raiders,New England Patriots,-175,140,h2h,,
2023-10-15 20:05:00,TwinSpires,Las Vegas Raiders,New England Patriots,-114,-107,spreads,-3.0,3.0
2023-10-15 20:05:00,BetRivers,Las Vegas Raiders,New England Patriots,-175,140,h2h,,
2023-10-15 20:05:00,BetRivers,Las Vegas Raiders,New England Patriots,-114,-107,spreads,-3.0,3.0
2023-10-15 20:05:00,MyBookie.ag,Las Vegas Raiders,New England Patriots,-170,139,h2h,,
2023-10-15 20:05:00,MyBookie.ag,Las Vegas Raiders,New England Patriots,-115,-105,spreads,-3.0,3.0
2023-10-15 20:05:00,WynnBET,Las Vegas Raiders,New England Patriots,-154,133,h2h,,
2023-10-15 20:05:00,WynnBET,Las Vegas Raiders,New England Patriots,-110,-110,spreads,-3.0,3.0
2023-10-15 20:05:00,BetMGM,Las Vegas Raiders,New England Patriots,-175,145,h2h,,
2023-10-15 20:05:00,BetMGM,Las Vegas Raiders,New England Patriots,-120,100,spreads,-3.0,3.0
2023-10-15 20:05:00,Barstool Sportsbook,Las Vegas Raiders,New England Patriots,-165,140,h2h,,
2023-10-15 20:05:00,Barstool Sportsbook,Las Vegas Raiders,New England Patriots,-120,100,spreads,-3.0,3.0
2023-10-15 20:05:00,PointsBet (US),Las Vegas Raiders,New England Patriots,-175,145,h2h,,
2023-10-15 20:05:00,PointsBet (US),Las Vegas Raiders,New England Patriots,-115,-105,spreads,-3.0,3.0
2023-10-15 20:26:00,FanDuel,Arizona Cardinals,Los Angeles Rams,265,-330,h2h,,
2023-10-15 20:26:00,FanDuel,Arizona Cardinals,Los Angeles Rams,-110,-110,spreads,7.0,-7.0
2023-10-15 20:26:00,BetUS,Arizona Cardinals,Los Angeles Rams,260,-315,h2h,,
2023-10-15 20:26:00,BetUS,Arizona Cardinals,Los Angeles Rams,-115,-105,spreads,7.0,-7.0
2023-10-15 20:26:00,DraftKings,Arizona Cardinals,Los Angeles Rams,260,-325,h2h,,
2023-10-15 20:26:00,DraftKings,Arizona Cardinals,Los Angeles Rams,-115,-105,spreads,7.0,-7.0
2023-10-15 20:26:00,SuperBook,Arizona Cardinals,Los Angeles Rams,260,-330,h2h,,
2023-10-15 20:26:00,SuperBook,Arizona Cardinals,Los Angeles Rams,-110,-110,spreads,7.0,-7.0
2023-10-15 20:26:00,Caesars,Arizona Cardinals,Los Angeles Rams,270,-345,h2h,,
2023-10-15 20:26:00,Caesars,Arizona Cardinals,Los Angeles Rams,-110,-110,spreads,7.0,-7.0
2023-10-15 20:26:00,LowVig.ag,Arizona Cardinals,Los Angeles Rams,255,-305,h2h,,
2023-10-15 20:26:00,LowVig.ag,Arizona Cardinals,Los Angeles Rams,-112,101,spreads,7.0,-7.0
2023-10-15 20:26:00,BetOnline.ag,Arizona Cardinals,Los Angeles Rams,255,-303,h2h,,
2023-10-15 20:26:00,BetOnline.ag,Arizona Cardinals,Los Angeles Rams,-116,-104,spreads,7.0,-7.0
2023-10-15 20:26:00,Bovada,Arizona Cardinals,Los Angeles Rams,255,-310,h2h,,
2023-10-15 20:26:00,Bovada,Arizona Cardinals,Los Angeles Rams,-115,-105,spreads,7.0,-7.0
2023-10-15 20:26:00,TwinSpires,Arizona Cardinals,Los Angeles Rams,240,-315,h2h,,
2023-10-15 20:26:00,TwinSpires,Arizona Cardinals,Los Angeles Rams,-112,-109,spreads,7.0,-7.0
2023-10-15 20:26:00,BetRivers,Arizona Cardinals,Los Angeles Rams,240,-315,h2h,,
2023-10-15 20:26:00,BetRivers,Arizona Cardinals,Los Angeles Rams,-112,-109,spreads,7.0,-7.0
2023-10-15 20:26:00,Unibet,Arizona Cardinals,Los Angeles Rams,240,-315,h2h,,
2023-10-15 20:26:00,Unibet,Arizona Cardinals,Los Angeles Rams,-112,-109,spreads,7.0,-7.0
2023-10-15 20:26:00,MyBookie.ag,Arizona Cardinals,Los Angeles Rams,244,-319,h2h,,
2023-10-15 20:26:00,MyBookie.ag,Arizona Cardinals,Los Angeles Rams,-110,-110,spreads,7.0,-7.0
2023-10-15 20:26:00,PointsBet (US),Arizona Cardinals,Los Angeles Rams,240,-300,h2h,,
2023-10-15 20:26:00,PointsBet (US),Arizona Cardinals,Los Angeles Rams,-115,-105,spreads,7.0,-7.0
2023-10-15 20:26:00,WynnBET,Arizona Cardinals,Los Angeles Rams,265,-323,h2h,,
2023-10-15 20:26:00,WynnBET,Arizona Cardinals,Los Angeles Rams,-110,-110,spreads,7.0,-7.0
2023-10-15 20:26:00,BetMGM,Arizona Cardinals,Los Angeles Rams,240,-300,h2h,,
2023-10-15 20:26:00,BetMGM,Arizona Cardinals,Los Angeles Rams,-110,-110,spreads,7.0,-7.0
2023-10-15 20:26:00,Barstool Sportsbook,Arizona Cardinals,Los Angeles Rams,260,-310,h2h,,
2023-10-15 20:26:00,Barstool Sportsbook,Arizona Cardinals,Los Angeles Rams,-115,-105,spreads,7.0,-7.0
2023-10-15 20:26:00,FanDuel,Detroit Lions,Tampa Bay Buccaneers,-166,140,h2h,,
2023-10-15 20:26:00,FanDuel,Detroit Lions,Tampa Bay Buccaneers,-120,-102,spreads,-3.0,3.0
2023-10-15 20:26:00,DraftKings,Detroit Lions,Tampa Bay Buccaneers,-166,140,h2h,,
2023-10-15 20:26:00,DraftKings,Detroit Lions,Tampa Bay Buccaneers,-118,-102,spreads,-3.0,3.0
2023-10-15 20:26:00,BetUS,Detroit Lions,Tampa Bay Buccaneers,-170,148,h2h,,
2023-10-15 20:26:00,BetUS,Detroit Lions,Tampa Bay Buccaneers,100,-120,spreads,-3.5,3.5
2023-10-15 20:26:00,SuperBook,Detroit Lions,Tampa Bay Buccaneers,-180,150,h2h,,
2023-10-15 20:26:00,SuperBook,Detroit Lions,Tampa Bay Buccaneers,-120,100,spreads,-3.0,3.0
2023-10-15 20:26:00,Caesars,Detroit Lions,Tampa Bay Buccaneers,-170,143,h2h,,
