FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attempts_fighter,TOTAL STR._landed_fighter,TOTAL STR._attempts_fighter,TD_landed_fighter,TD_attempts_fighter,HEAD_landed_fighter,HEAD_attempts_fighter,BODY_landed_fighter,BODY_attempts_fighter,LEG_landed_fighter,LEG_attempts_fighter,DISTANCE_landed_fighter,DISTANCE_attempts_fighter,CLINCH_landed_fighter,CLINCH_attempts_fighter,GROUND_landed_fighter,GROUND_attempts_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attempts_opponent,TOTAL STR._landed_opponent,TOTAL STR._attempts_opponent,TD_landed_opponent,TD_attempts_opponent,HEAD_landed_opponent,HEAD_attempts_opponent,BODY_landed_opponent,BODY_attempts_opponent,LEG_landed_opponent,LEG_attempts_opponent,DISTANCE_landed_opponent,DISTANCE_attempts_opponent,CLINCH_landed_opponent,CLINCH_attempts_opponent,GROUND_landed_opponent,GROUND_attempts_opponent,form_score_fighter
Eddie Alvarez,69.0,155.0,69.0,Orthodox,8,4,0,3,1,5339,1.0,1.0,0.0,1043,400,970,483,1076,12,46,263,776,101,147,36,47,313,847,71,104,16,19,5.0,4.0,0.0,203.0,474.0,1025.0,634.0,1195.0,0.0,5.0,307.0,820.0,81.0,112.0,86.0,93.0,399.0,910.0,63.0,89.0,12.0,26.0,0.87
Eddie Gordon,72.0,185.0,76.0,Orthodox,4,1,0,3,0,2336,1.0,0.0,1.0,809,79,242,181,354,5,6,76,238,2,3,1,1,54,205,3,8,22,29,1.0,1.0,0.0,654.0,100.0,250.0,181.0,339.0,8.0,22.0,73.0,216.0,21.0,27.0,6.0,7.0,71.0,217.0,14.0,16.0,15.0,17.0,0.27
Eddie Mendez,70.0,185.0,72.0,Orthodox,1,0,0,1,0,140,0.0,0.0,0.0,22,4,12,5,13,0,0,3,10,0,1,1,1,4,12,0,0,0,0,0.0,1.0,0.0,66.0,8.0,9.0,19.0,20.0,1.0,1.0,5.0,6.0,3.0,3.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0
Eddie Ruiz,67.0,155.0,72.0,Orthodox,1,0,0,1,0,900,0.0,0.0,2.0,285,3,12,30,43,2,16,0,6,1,2,2,4,2,9,1,2,0,1,1.0,3.0,1.0,419.0,21.0,40.0,57.0,79.0,0.0,0.0,10.0,26.0,10.0,12.0,1.0,2.0,3.0,14.0,14.0,17.0,4.0,9.0,0.0
Eddie Sanchez,74.0,230.0,74.0,Orthodox,6,3,0,3,0,3181,4.0,0.0,1.0,832,183,423,402,660,4,15,149,379,25,31,9,13,71,251,78,116,34,56,3.0,2.0,0.0,1097.0,175.0,309.0,298.0,433.0,4.0,7.0,113.0,226.0,33.0,42.0,29.0,41.0,70.0,156.0,77.0,107.0,28.0,46.0,0.84
Eddie Wineland,67.0,135.0,69.0,Orthodox,16,6,0,10,0,9060,8.0,0.0,0.0,290,527,1784,563,1820,3,13,387,1541,109,202,31,41,465,1678,21,34,41,72,5.0,0.0,0.0,493.0,659.0,1712.0,708.0,1768.0,3.0,45.0,392.0,1310.0,129.0,228.0,138.0,174.0,572.0,1579.0,50.0,65.0,37.0,68.0,0.21
Eddie Yagin,67.0,145.0,72.0,Orthodox,2,1,0,1,0,1800,2.0,2.0,0.0,103,94,310,120,341,0,0,78,278,3,13,13,19,82,284,1,1,11,25,0.0,0.0,0.0,426.0,173.0,300.0,280.0,421.0,3.0,8.0,136.0,247.0,23.0,32.0,14.0,21.0,127.0,244.0,2.0,2.0,44.0,54.0,0.5
Edgar Chairez,67.0,125.0,71.0,Orthodox,4,1,0,2,1,2164,1.0,5.0,1.0,66,125,262,134,271,0,2,64,181,21,31,40,50,122,259,2,2,1,1,0.0,1.0,1.0,979.0,187.0,309.0,319.0,464.0,7.0,9.0,122.0,226.0,29.0,44.0,36.0,39.0,140.0,247.0,4.0,4.0,43.0,58.0,0.53
Edgar Garcia,70.0,170.0,71.0,Orthodox,4,0,0,4,0,1553,0.0,1.0,0.0,215,69,254,81,267,4,7,55,235,8,12,6,7,45,219,7,12,17,23,0.0,4.0,1.0,224.0,113.0,284.0,143.0,323.0,1.0,2.0,76.0,226.0,15.0,27.0,22.0,31.0,74.0,198.0,5.0,12.0,34.0,74.0,0.0
Edilberto de Oliveira,72.0,170.0,72.0,Orthodox,2,0,0,2,0,742,0.0,0.0,0.0,19,51,158,51,158,0,5,21,120,15,15,15,23,50,155,1,3,0,0,2.0,0.0,0.0,10.0,84.0,217.0,86.0,219.0,0.0,0.0,48.0,167.0,8.0,12.0,28.0,38.0,76.0,201.0,4.0,5.0,4.0,11.0,0.0
Edimilson Souza,72.0,145.0,74.0,Orthodox,4,3,0,1,0,1999,2.0,0.0,0.0,130,155,348,183,383,0,0,119,284,35,62,1,2,127,303,13,22,15,23,0.0,3.0,0.0,584.0,97.0,231.0,137.0,280.0,5.0,10.0,42.0,158.0,18.0,29.0,37.0,44.0,71.0,197.0,5.0,8.0,21.0,26.0,1.47
Edmen Shahbazyan,75.0,185.0,75.0,Orthodox,11,6,0,5,0,5342,4.0,3.0,1.0,1203,318,633,348,670,12,31,211,504,83,103,24,26,198,431,58,78,62,124,0.0,9.0,1.0,1439.0,345.0,641.0,516.0,827.0,15.0,44.0,245.0,508.0,50.0,70.0,50.0,63.0,173.0,423.0,39.0,55.0,133.0,163.0,1.0
